timestamp,epoch,chunk,train_loss,val_loss
851.03,1,1,0.811148,
1863.89,1,2,0.790325,
2879.39,1,3,0.780874,
3770.03,1,4,0.778780,
4743.11,1,5,0.779291,
5743.32,1,6,0.777169,
6738.94,1,7,0.775789,
7903.96,1,8,0.776971,
8930.76,1,9,0.777402,
10046.88,1,10,0.771677,
10938.54,1,11,0.776150,
11784.52,1,12,0.773004,
12741.95,1,13,0.759497,
13797.81,1,14,0.770758,
15043.59,1,15,0.772351,
16098.91,1,16,0.774555,
17125.58,1,17,0.770394,
18153.24,1,18,0.766863,
19172.41,1,19,0.765781,
20184.38,1,20,0.768635,
21014.89,1,21,0.767713,
21841.86,1,22,0.769969,
22634.32,1,23,0.762057,
23450.74,1,24,0.761365,
24802.20,1,25,0.761693,
25981.62,1,26,0.755131,
27127.10,1,27,0.761501,
28370.45,1,28,0.757871,
30550.85,1,end,,0.798460
31504.77,2,1,0.766423,
32402.79,2,2,0.764973,
33261.43,2,3,0.763424,
34059.16,2,4,0.766397,
34917.18,2,5,0.771717,
35807.20,2,6,0.767908,
36696.28,2,7,0.768228,
37626.71,2,8,0.770543,
38542.10,2,9,0.771733,
39496.27,2,10,0.767452,
40517.64,2,11,0.772053,
41686.13,2,12,0.792184,
42763.85,2,13,0.870131,
43807.29,2,14,0.778136,
44876.29,2,15,0.778327,
45975.18,2,16,0.778024,
47060.14,2,17,0.773578,
48175.23,2,18,0.770084,
49262.09,2,19,0.768750,
50354.76,2,20,0.771778,
51459.59,2,21,0.770130,
52609.30,2,22,0.769558,
53714.35,2,23,0.764779,
54808.45,2,24,0.763401,
55896.76,2,25,0.763062,
56295.34,2,26,0.763342,
57167.69,2,27,0.763487,
58031.52,2,28,0.761014,
59484.78,2,end,,0.771282
60354.11,3,1,0.771116,
61224.30,3,2,0.769099,
62093.37,3,3,0.766581,
62977.25,3,4,0.769525,
63851.23,3,5,0.770025,
64721.25,3,6,0.771497,
65583.13,3,7,0.771289,
66458.09,3,8,0.772990,
67334.70,3,9,0.774588,
68209.38,3,10,0.770275,
69078.16,3,11,0.774271,
69956.94,3,12,0.771700,
70827.32,3,13,0.758212,
71704.09,3,14,0.768779,
72580.97,3,15,0.772800,
73467.32,3,16,0.773023,
74343.88,3,17,0.768738,
75304.89,3,18,0.765535,
76317.69,3,19,0.764340,
