timestamp,epoch,chunk,train_loss,val_loss,lr
89.67,1,1,0.862890,,0.00020021418036568223
179.02,1,2,0.822885,,0.00020085668323504072
268.53,1,3,0.801393,,0.00020192739393182398
357.32,1,4,0.802243,,0.0002034261213516922
446.57,1,5,0.798820,,0.00020535259799632326
535.03,1,6,0.804531,,0.00020770648002115585
623.89,1,7,0.800090,,0.00021048734729676392
713.25,1,8,0.804266,,0.0002136947034838384
802.34,1,9,0.802283,,0.00021732797612177956
891.35,1,10,0.797770,,0.00022138651673086693
980.19,1,11,0.799338,,0.0002258696009280088
1069.02,1,12,0.795990,,0.00023077642855602685
1157.55,1,13,0.796815,,0.00023610612382647667
1246.26,1,14,0.777635,,0.0002418577354759534
1335.34,1,15,0.797497,,0.0002480302369358882
1424.31,1,16,0.792450,,0.00025462252651576363
1513.14,1,17,0.796188,,0.0002616334275997506
1602.17,1,18,0.795852,,0.0002690616888567192
1691.42,1,19,0.793050,,0.0002769059844635758
1779.92,1,20,0.787780,,0.0002851649143419009
1870.10,1,21,0.784534,,0.00029383700440784553
1959.69,1,22,0.789122,,0.0003029207068352231
2048.77,1,23,0.786508,,0.0003124144003317777
2137.82,1,24,0.790165,,0.0003223163904285554
2227.57,1,25,0.774700,,0.0003326249097823407
2316.39,1,26,0.778019,,0.00034333811849109486
2405.35,1,27,0.782056,,0.0003544541044223524
2493.91,1,28,0.782292,,0.00036597088355450405
2583.43,1,29,0.781140,,0.0003778864003309108
2672.62,1,30,0.787220,,0.0003901985280267894
2761.90,1,31,0.779382,,0.0004029050691287967
2850.61,1,32,0.778462,,0.00041600375572724974
2940.25,1,33,0.775295,,0.0004294922499209087
3028.56,1,34,0.778470,,0.0004433681442342595
3117.80,1,35,0.782469,,0.0004576289620472022
3207.37,1,36,0.774408,,0.0004722721580370931
3296.57,1,37,0.781151,,0.0004872951186330387
3386.07,1,38,0.781932,,0.0005026951624823774
3475.94,1,39,0.780150,,0.0005184695409292551
3565.01,1,40,0.781156,,0.0005346154385052204
3655.33,1,41,0.778159,,0.0005511299734317328
3744.23,1,42,0.774821,,0.0005680101981345173
3833.80,1,43,0.778580,,0.0005852530997696587
3923.05,1,44,0.779578,,0.0006028556007613411
4012.42,1,45,0.774490,,0.0006208145593511486
4102.26,1,46,0.774834,,0.0006391267701588172
4192.17,1,47,0.768195,,0.0006577889647543401
4280.92,1,48,0.771619,,0.0006767978122413322
4369.79,1,49,0.777004,,0.000696149919851537
4458.85,1,50,0.774434,,0.0007158418335503859
