timestamp,epoch,chunk,train_loss,val_loss
312.70,1,1,0.812350,
638.50,1,2,0.796945,
979.48,1,3,0.790637,
1326.86,1,4,0.790307,
1677.68,1,5,0.789002,
2029.34,1,6,0.789312,
2381.59,1,7,0.788094,
2734.68,1,8,0.789452,
3095.59,1,9,0.789945,
3456.37,1,10,0.785094,
4353.04,1,12,0.785142,
4750.32,1,13,0.771465,
5132.64,1,14,0.781893,
5489.92,1,15,0.785047,
5850.93,1,16,0.785553,
6212.27,1,17,0.781408,
6586.06,1,18,0.778217,
6953.96,1,19,0.776881,
7314.51,1,20,0.779546,
7675.40,1,21,0.777787,
8046.05,1,22,0.777536,
8411.92,1,23,0.772698,
8773.88,1,24,0.772443,
9139.22,1,25,0.771816,
9275.16,1,26,0.770246,
9647.26,1,27,0.771847,
10129.44,1,28,0.769464,
11235.75,1,end,,0.783048
11679.79,2,1,0.776912,
12102.57,2,2,0.775446,
12498.77,2,3,0.773709,
12887.63,2,4,0.776537,
13375.09,2,5,0.777609,
13803.60,2,6,0.778929,
14339.52,2,7,0.778659,
14756.38,2,8,0.780545,
15170.46,2,9,0.781533,
15565.06,2,10,0.777458,
15955.98,2,11,0.781578,
16345.28,2,12,0.778807,
16749.12,2,13,0.765245,
17143.39,2,14,0.776030,
17540.03,2,15,0.780017,
17932.14,2,16,0.780573,
18334.32,2,17,0.776675,
18746.36,2,18,0.773493,
19159.68,2,19,0.772275,
