timestamp,epoch,chunk,train_loss,val_loss
317.23,1,1,0.776683,
634.99,1,2,0.775366,
968.88,1,3,0.773766,
1309.56,1,4,0.776478,
1659.87,1,5,0.777385,
2013.27,1,6,0.778839,
2366.51,1,7,0.778683,
2722.52,1,8,0.780537,
3087.94,1,9,0.781475,
3449.28,1,10,0.777588,
3806.68,1,11,0.781476,
4162.00,1,12,0.778641,
4514.96,1,13,0.765162,
4868.21,1,14,0.776074,
5221.39,1,15,0.780003,
5573.48,1,16,0.780533,
5923.26,1,17,0.776621,
6272.16,1,18,0.773275,
6625.94,1,19,0.772056,
6976.72,1,20,0.775521,
7326.13,1,21,0.773586,
7673.77,1,22,0.773302,
8022.12,1,23,0.768853,
8371.14,1,24,0.767883,
8720.73,1,25,0.768026,
8850.92,1,26,0.767499,
9201.49,1,27,0.768175,
9548.88,1,28,0.765645,
10258.81,1,end,,0.786120
10607.11,2,1,0.773478,
10952.82,2,2,0.772164,
11297.79,2,3,0.770410,
11643.34,2,4,0.773372,
11990.26,2,5,0.774324,
12339.05,2,6,0.775726,
12687.95,2,7,0.775812,
13035.04,2,8,0.777835,
13380.51,2,9,0.779036,
13726.37,2,10,0.774904,
14076.47,2,11,0.779056,
14424.92,2,12,0.775936,
14770.48,2,13,0.762793,
15116.62,2,14,0.773505,
15460.36,2,15,0.777628,
15803.07,2,16,0.778300,
16146.56,2,17,0.774469,
16490.82,2,18,0.771305,
16835.07,2,19,0.770350,
17176.55,2,20,0.773264,
17520.28,2,21,0.771561,
17864.90,2,22,0.771606,
18212.23,2,23,0.766744,
18556.98,2,24,0.766066,
18900.93,2,25,0.766105,
19027.51,2,26,0.765807,
19373.94,2,27,0.766209,
19717.46,2,28,0.763747,
20396.94,2,end,,0.778880
20745.24,3,1,0.771586,
21094.32,3,2,0.770490,
21438.78,3,3,0.768539,
21788.31,3,4,0.771581,
22134.07,3,5,0.772434,
22477.79,3,6,0.774098,
22822.23,3,7,0.774309,
23169.85,3,8,0.776143,
23515.44,3,9,0.777650,
23862.17,3,10,0.773378,
24209.50,3,11,0.777675,
24564.51,3,12,0.774369,
24926.72,3,13,0.761367,
25286.50,3,14,0.772162,
25650.33,3,15,0.776302,
26014.61,3,16,0.776952,
26378.28,3,17,0.773201,
26744.68,3,18,0.770015,
27107.28,3,19,0.768980,
27469.87,3,20,0.772102,
27836.46,3,21,0.770544,
28206.75,3,22,0.770403,
28573.74,3,23,0.765549,
28943.13,3,24,0.764789,
29315.84,3,25,0.765098,
29453.99,3,26,0.764248,
29825.64,3,27,0.765032,
30196.55,3,28,0.762680,
30983.02,3,end,,0.775473
